,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Surge,32,11,47,28,32,50,7,20,23,,,,,,,250,9,,82,71,2,18,-45,2,67,36,2,51,22,2,32,18,1,27.78,50,7,1,0,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Tuscan,Royal Ravens,5,40,0,17,14,6,23,31,12,,,,,,,148,,,11,-71,2,63,45,2,31,-36,2,29,-22,2,14,-18,1,16.44,40,0,0,1,1,0,,,Breach,109,144,-35,5,117,68,49,5,88,110,-22,4,29,111,-82,4,41,67,-26,4,384,500,-116,0,3,1,1,22,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,76,72,4,3,20,60,-40,2,32,66,-34,2,52,22,30,2,40,30,10,2,220,250,-30,0,1,2,1,11,,,,,,Desert Siege,Surge,,B,D,,,B,O,X,,B,D,,,B,O,X,,B,D,X,1,A,O,X,,A,D,,,,,,,,,,,,,,,,,,1,,3,1,3,1,1,1,2,0,4,0,1,0,1,0,3,0,,,Breach,10,4,6,40.00%,4,5,3,2,2,1,1,1,2,2,5,1,4,2,1,1,0,0,0,,,,,,Berlin,Royal Ravens,1,,X,5,O,2,1,X,,,D,2,1,X,X,5,O,16,,,,,,,,,,,,,3,20,10,,2,2,1,1,2,2,18,1,1,10,1,1,2,1,0,0,1,3,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,128,75,53,4,100,67,33,4,139,51,88,4,71,25,46,3,62,19,43,3,500,237,263,2,0,0,4,18,,,,,,Desert Siege,Royal Ravens,1,B,O,X,1,B,D,,1,B,O,X,1,B,D,,1,B,O,,,A,D,,1,A,O,X,,,,,,,,,,,,,,,,,6,,4,4,3,3,1,1,3,3,3,2,0,0,1,0,2,2,,,OpTic,21,10,11,47.62%,10,11,7,4,5,5,4,3,3,3,10,3,7,5,3,4,1,2,1,,,,,,Berlin,Surge,,X,,,D,0,,,X,3,O,0,,,,,D,10,,,,,,,,,,,,,0,10,3,,1,0,0,0,1,0,0,0,0,3,2,0,10,1,0,0,0,10,,OpTic,14,7,7,50.00%,7,1,6,4,1,1,1,70,1,0,20,7,6,1,65,1,5,4,2,22
Berlin,Surge,39,0,18,10,27,30,27,48,10,10,31,,,,,250,11,,100,63,3,27,-45,2,66,32,2,20,-45,2,37,-2,2,22.73,48,0,0,1,1,0,,,FaZe,195,156,39,8,111,151,-40,7,83,189,-106,6,102,88,14,5,74,106,-32,5,565,690,-125,1,4,2,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,28,18,11,64.29%,14,14,12,2,8,8,4,4,2,2,14,6,8,6,4,3,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,10,6,4,60.00%,4,0,4,4,0,0,0,18,0,0,14,6,6,0,73,3,6,6,0,15
Berlin,Royal Ravens,8,51,31,20,22,24,21,3,45,17,5,,,,,247,,,37,-63,3,72,45,2,34,-32,2,65,45,2,39,2,2,22.45,51,3,1,0,0,1,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,24,14,10,58.33%,13,12,8,4,6,5,2,1,6,6,12,6,6,7,6,7,3,2,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,2,3,40.00%,3,0,3,2,0,0,0,17,0,0,9,2,2,0,25,0,2,2,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,85,38,47,3,31,46,-15,2,69,32,37,2,33,45,-12,2,32,12,20,2,250,173,77,0,0,0,1,11,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Royal Ravens,1,B,D,,,A,O,X,,B,D,,1,,O,,1,,D,X,,,O,,,A,D,,,,O,,,B,D,X,,,,,,,,,3,,4,1,1,0,1,0,0,0,5,2,2,1,1,0,3,1,,,Subliners,18,8,10,44.44%,12,9,5,4,5,5,6,3,2,2,9,3,6,7,3,1,1,5,0,,,,,,Berlin,Thieves,1,X,X,6,O,5,,,,,D,0,1,X,X,5,O,13,,,,,D,12,,,,,D,0,2,30,11,,2,2,2,2,2,2,18,2,0,11,3,0,12,0,0,0,0,15,,Subliners,8,4,4,50.00%,4,1,3,3,1,0,0,23,0,1,10,4,3,1,22,0,3,2,1,18
Tuscan,Thieves,5,33,25,8,36,18,26,12,10,8,,,,,,181,10,,23,-18,2,59,42,2,37,-28,2,18,-56,2,44,-9,2,18.1,36,5,0,0,0,0,,,Royal Ravens,75,185,-110,6,118,58,60,4,66,135,-69,4,110,53,57,4,51,69,-18,4,420,500,-80,1,1,0,1,22,,,,,,Berlin,Surge,,B,O,X,1,A,D,,1,B,O,X,,,D,X,,,O,,1,,D,X,1,A,O,X,1,,D,X,1,B,O,,,,,,,,,,6,,5,3,3,2,1,1,3,2,4,3,3,2,1,1,0,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Breach,,,,,D,5,1,,X,5,O,2,,,,,D,8,1,X,X,5,O,7,1,,X,5,O,6,3,28,15,,3,3,1,1,3,3,15,1,2,15,2,0,13,0,0,0,0,11,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Breach,26,3,30,35,18,15,14,35,39,35,,,,,,250,,,41,18,2,17,-42,2,65,28,2,74,56,2,53,9,2,25,39,3,0,0,0,0,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,19,7,12,36.84%,6,9,3,6,2,1,2,0,2,2,10,4,6,4,3,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,4,1,3,25.00%,2,0,2,2,0,0,0,1,0,0,7,2,1,1,20,1,1,1,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,138,125,13,6,68,128,-60,5,99,104,-5,4,91,62,29,4,59,49,10,4,455,468,-13,1,2,0,1,23,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,11,5,6,45.45%,7,5,2,3,2,2,3,2,1,0,6,3,3,5,3,3,1,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,5,3,2,60.00%,3,1,2,2,1,0,0,26,0,1,8,2,2,0,27,1,2,2,0,3
Berlin,Thieves,18,33,21,34,28,39,4,27,25,21,,,,,,250,10,,57,10,2,37,-12,2,48,-2,2,59,46,2,49,42,2,25,39,4,0,0,0,2,,,Surge,320,331,-11,15,235,222,13,11,296,185,111,10,164,246,-82,10,175,182,-7,10,1190,1166,24,2,4,2,4,56,,,,,,Berlin,Thieves,1,,D,,1,,O,X,,B,D,X,1,,O,X,,B,D,,,,O,,,A,D,X,1,A,O,,1,,D,X,1,,O,X,,,,,6,,5,4,3,3,1,1,0,0,5,2,3,1,1,0,2,0,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,OpTic,,,,,O,14,1,,X,,D,9,,X,,3,O,1,1,X,X,,D,27,,,,,D,0,2,51,3,,2,0,1,0,0,0,15,0,0,3,3,2,36,1,2,2,0,8,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Breach,31,9,24,0,7,16,40,26,13,0,,,,,,166,,,47,-10,2,49,12,2,50,2,2,13,-46,2,7,-42,2,16.6,40,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,3984,,,7,15,7,15,97,,,,,,Berlin,Breach,,,O,X,,,D,,1,B,O,,,,D,,1,B,O,X,1,,D,X,1,A,O,,,A,D,X,,,O,,,,D,,,,,,4,,5,3,2,1,1,1,2,2,5,1,2,1,1,0,0,0,,,Surge,17,8,9,47.06%,8,9,4,5,4,3,3,2,3,2,8,4,4,4,3,2,1,2,0,,,,,,Gavutu,Ultra,1,X,X,,D,21,,X,,3,O,6,1,,X,,D,6,,,,,O,11,1,X,,5,O,9,3,53,8,,3,1,2,1,0,0,26,0,1,8,2,2,27,1,2,2,0,3,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Ultra,2,0,28,23,8,7,5,36,22,19,12,0,,,,162,12,,21,-3,3,5,-67,3,64,24,2,45,26,2,27,-23,2,13.5,36,0,0,2,0,1,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Bocage,OpTic,7,40,24,5,34,14,32,16,14,16,3,0,,,,205,,,24,3,3,72,67,3,40,-24,2,19,-26,2,50,23,2,17.08,40,0,0,1,0,2,,,OpTic,24,21,3,3,72,5,67,3,40,64,-24,2,19,45,-26,2,50,27,23,2,205,162,43,0,1,0,2,12,,,,,,Tuscan,Breach,,A,D,,,,O,,1,,D,X,1,A,O,,,,D,,1,B,O,X,1,A,D,X,,,O,,,A,D,,1,A,O,X,,B,O,,5,,6,3,2,2,2,2,2,1,5,2,2,2,3,1,0,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Subliners,,X,,3,O,0,,,,,D,4,,X,,3,O,5,,,,,,,,,,,,,0,9,6,,2,0,2,0,0,0,5,0,0,6,1,0,4,0,0,0,0,6,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Thieves,1,A,O,X,1,,D,X,,,O,,,A,D,X,1,,O,X,,B,D,,,A,O,,1,,D,X,1,A,O,X,,A,D,,1,B,D,X,6,,5,3,3,3,3,2,0,0,6,3,4,3,2,0,2,1,,,OpTic,17,12,5,70.59%,10,9,7,2,5,5,6,5,1,1,8,5,3,5,5,1,0,3,2,,,,,,Tuscan,FaZe,1,,X,,D,9,1,X,X,6,O,10,1,,X,,D,11,,,,,,,,,,,,,3,30,6,,1,1,1,1,1,1,10,1,0,6,2,2,20,0,2,1,1,6,,OpTic,5,2,3,40.00%,3,0,3,3,0,0,0,7,0,0,10,2,2,0,23,1,2,1,1,8
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,23,33,-10,3,56,36,20,2,14,76,-62,2,5,73,-68,2,52,32,20,2,150,250,-100,0,1,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,7,1,6,14.29%,4,4,1,3,4,1,0,0,1,0,3,0,3,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Ultra,14,28,12,24,34,10,29,48,18,4,29,,,,,250,11,,53,-17,3,57,39,2,60,21,2,42,-6,2,38,-12,2,22.73,48,4,0,0,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,7,6,1,85.71%,3,3,3,0,3,3,0,0,2,2,4,3,1,0,0,0,0,1,1,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,12,9,3,75.00%,6,4,2,6,4,3,3,63,3,1,28,6,5,1,45,0,5,3,2,23
