,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach,61,96,-35,4,74,85,-11,4,103,88,15,4,90,86,4,4,92,76,16,4,420,431,-11,0,0,0,0,20,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Tuscan,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,OpTic,177,127,50,8,67,210,-143,6,130,161,-31,6,129,131,-2,6,112,108,4,5,615,737,-122,0,3,1,0,31,,,,,,Berlin,Royal Ravens,,A,D,,1,B,O,,,B,D,,,A,O,,1,A,D,X,,,O,,1,,D,X,1,B,O,X,,A,D,,,,O,,,,,,4,,5,2,1,1,1,0,2,2,5,2,2,2,3,1,1,0,,,Breach,11,5,6,45.45%,4,6,3,3,2,2,2,2,2,1,5,2,3,2,2,3,1,0,0,,,,,,Gavutu,OpTic,,X,,5,O,8,1,,X,,D,13,1,X,X,6,O,26,1,,X,,D,5,,,,,,,3,52,11,,2,1,2,1,1,1,34,1,0,11,2,2,18,0,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,FaZe,9,17,25,50,18,19,48,3,40,19,0,,,,,248,11,,28,-58,3,65,35,2,28,-36,2,90,77,2,37,-20,2,22.55,50,0,1,1,0,1,,,Thieves,123,132,-9,7,137,106,31,6,124,164,-40,6,99,181,-82,6,157,129,28,6,640,712,-72,0,2,0,2,31,,,,,,Berlin,Subliners,1,A,O,X,,B,D,X,1,B,O,X,1,A,D,X,,A,O,,1,,D,X,,,O,,,B,D,,1,A,O,X,1,,D,X,,,,,6,,5,3,3,3,3,2,1,1,5,3,4,3,1,1,2,0,,,OpTic,8,6,2,75.00%,7,4,3,1,4,3,2,2,0,0,4,3,1,3,3,0,0,1,0,,,,,,Gavutu,Subliners,1,,X,,D,3,,X,,3,O,9,,,,,D,8,,X,,3,O,0,,,,,,,1,20,6,,2,0,2,0,0,0,9,0,0,6,2,1,11,0,1,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Surge,36,30,24,5,27,36,0,40,8,30,14,,,,,250,,,86,58,3,30,-35,2,64,36,2,13,-77,2,57,20,2,22.73,40,0,0,1,1,1,,,FaZe,204,227,-23,11,177,162,15,8,176,185,-9,8,260,119,141,8,143,226,-83,8,960,919,41,1,3,0,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,32,18,14,56.25%,16,15,9,6,7,7,8,6,0,0,17,9,8,9,6,4,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,49,25,24,51.02%,24,25,11,14,10,6,5,3,8,4,24,14,10,14,12,8,3,2,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Subliners,81,153,-72,6,121,52,69,4,88,101,-13,4,73,102,-29,4,84,92,-8,4,447,500,-53,0,0,0,1,22,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,FaZe,27,12,44,2,15,52,19,0,32,12,29,0,,,,244,12,,108,66,3,31,-31,3,44,-8,2,34,-10,2,27,-23,2,20.33,52,0,1,2,0,1,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Breach,1,B,D,,1,B,O,,1,A,D,X,1,B,O,X,1,,D,X,1,B,O,X,,,,,,,,,,,,,,,,,,,,,6,,3,3,2,2,0,0,3,3,3,3,2,2,1,1,1,1,,,Subliners,18,8,10,44.44%,6,9,3,6,3,3,2,1,2,2,9,5,4,3,3,2,0,2,2,,,,,,Berlin,Thieves,1,X,X,6,O,10,1,X,X,,D,6,1,X,X,6,O,11,,,,,,,,,,,,,3,27,12,,2,2,2,2,2,2,21,2,0,12,1,1,6,1,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Surge,18,26,3,42,22,0,17,49,2,28,24,19,,,,250,,,42,-66,3,62,31,3,52,8,2,44,10,2,50,23,2,20.83,49,0,0,1,1,2,,,Royal Ravens,11,82,-71,2,63,18,45,2,31,67,-36,2,29,51,-22,2,14,32,-18,1,148,250,-102,0,1,1,0,9,,,,,,Desert Siege,Ultra,,B,O,X,,B,D,X,,A,O,,,B,D,,,,O,,,B,D,,,,,,,,,,,,,,,,,,,,,,0,,3,0,1,0,1,0,1,0,3,0,1,0,0,0,3,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,FaZe,,,,,D,8,,,,4,O,4,,,,,D,15,,,,,,,,,,,,,0,27,4,,1,0,0,0,0,0,4,0,0,4,2,0,23,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Ultra,178,150,28,8,108,150,-42,6,136,133,3,6,175,97,78,6,141,115,26,6,738,645,93,0,1,1,1,32,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,OpTic,14,7,9,6,16,2,4,,,,,,,,,58,7,,16,-56,2,11,-55,2,9,-32,1,6,-43,1,16,-6,1,8.29,16,2,0,0,0,0,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Thieves,28,44,41,49,22,44,22,,,,,,,,,250,,,72,56,2,66,55,2,41,32,1,49,43,1,22,6,1,35.71,49,22,0,0,0,0,,,Surge,262,130,132,10,209,173,36,8,234,123,111,8,138,226,-88,8,157,122,35,6,1000,774,226,3,2,1,5,40,,,,,,Berlin,FaZe,,A,D,,1,B,O,X,1,,D,X,1,B,O,X,1,,D,X,,,O,,1,A,D,X,1,A,O,X,,,,,,,,,,,,,6,,4,3,3,3,1,1,2,2,4,3,3,3,2,1,0,0,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,OpTic,,X,,4,O,0,1,,X,,D,8,,X,,3,O,7,1,X,X,,D,15,,X,,3,O,0,2,30,10,,3,0,3,0,0,0,7,0,0,10,2,2,23,1,2,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Pts,,4968,,,4,12,4,12,114,,,,,,Berlin,Surge,1,A,O,X,,B,D,,,,O,,,B,D,,,,O,,1,,D,X,,A,O,,,A,D,,,,,,,,,,,,,,2,,4,1,1,1,2,1,0,0,4,1,1,1,1,0,2,0,,,Surge,18,6,12,33.33%,11,9,2,7,4,2,1,0,1,1,9,4,5,7,4,3,1,1,0,,,,,,Tuscan,Surge,1,,X,,D,6,,X,,5,O,0,1,,X,,D,7,,,,3,O,5,1,,X,,D,1,3,19,8,,2,0,1,0,0,0,5,0,0,8,3,3,14,0,3,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Surge,40,22,38,2,26,1,53,18,31,0,19,,,,,250,11,,60,8,3,75,50,2,56,31,2,33,-32,2,26,-45,2,22.73,53,0,1,1,0,1,,,,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Ultra,3,25,6,42,25,42,0,19,23,46,7,,,,,238,,,52,-8,3,25,-50,2,25,-31,2,65,32,2,71,45,2,21.64,46,0,0,1,1,1,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,,D,X,,,O,X,,,D,X,1,,O,X,1,,D,X,,A,O,,,,D,,1,B,O,X,1,A,D,X,,,O,X,,A,D,,5,,5,2,4,2,1,0,1,1,6,3,4,3,2,1,0,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,X,X,6,O,4,1,,X,,D,11,,X,,4,O,0,,,,,D,0,,,,,D,4,2,19,10,,2,1,2,1,1,1,4,1,0,10,3,1,15,0,1,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,,,O,,1,,D,,1,,O,,,,D,,,,O,,1,A,D,X,1,,O,X,,B,D,,,A,O,,1,,D,,1,A,O,X,6,,6,3,2,2,2,1,0,0,5,3,1,1,1,1,1,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,,,,,D,2,,X,,3,O,3,1,,X,,D,4,1,X,,4,O,12,1,X,X,6,O,16,3,37,13,,3,2,3,2,1,1,31,1,1,13,2,1,6,0,1,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Surge,46,44,30,43,14,3,16,36,3,1,14,,,,,250,11,,63,12,3,60,23,2,66,29,2,46,7,2,15,-26,2,22.73,46,1,0,0,0,1,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Ultra,2,1,24,5,7,49,36,13,34,34,0,,,,,205,,,51,-12,3,37,-23,2,37,-29,2,39,-7,2,41,26,2,18.64,49,0,0,1,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Thieves,,B,D,,1,,O,X,1,,D,X,1,A,O,,,B,D,,1,,O,,,,D,,1,B,O,X,,A,D,,1,,O,X,,,,,6,,5,5,3,3,1,1,1,1,5,1,1,1,1,0,2,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,FaZe,,,,1,O,12,1,,X,,D,16,,X,,3,O,3,1,,X,,D,9,,X,,5,O,2,2,42,9,,3,0,2,0,0,0,17,0,0,9,2,2,25,0,2,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Subliners,3,48,19,16,15,29,19,35,32,13,8,,,,,237,11,,40,-28,3,67,38,2,54,2,2,48,9,2,28,-34,2,21.55,48,3,0,0,0,1,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,OpTic,1,B,O,X,,,D,,,,O,,,A,D,X,1,B,O,X,,,D,X,1,,O,X,,B,D,,1,A,O,X,,,D,,,,,,4,,5,4,4,4,1,1,2,2,5,0,2,0,1,0,1,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Thieves,1,X,X,,D,18,,X,,3,O,7,1,,X,,D,8,,X,,3,O,5,1,,X,,D,2,3,40,6,,2,0,2,0,0,0,12,0,0,6,3,3,28,1,3,3,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,OpTic,43,0,35,26,35,9,29,17,13,27,16,,,,,250,,,68,28,3,29,-38,2,52,-2,2,39,-9,2,62,34,2,22.73,43,0,0,1,0,0,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
