24-12 265 Pts,HP,,SnD,,CTR,,Total,,,,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Wk 2,3,Control,Berlin,3,FaZe,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Wk 2,4,Hardpoint,Berlin,250,FaZe,178,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Wk 3,1,Hardpoint,Berlin,166,Subliners,250,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Wk 3,2,SnD,Berlin,5,Subliners,6,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,4,1,3,2,1,2,8,5,,3,Wk 3,3,Control,Tuscan,3,Subliners,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,80.00%,,60.00%,,33.33%,,61.54%,,,3,Wk 3,4,Hardpoint,Tuscan,224,Subliners,250,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1145,,26,,5,,,,,3,Wk 3,1,Hardpoint,Berlin,250,Thieves,135,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1027,,24,,7,,,,,3,Wk 3,2,SnD,Berlin,6,Thieves,4,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,229.00,,5.20,,1.67,,,,,3,Wk 3,3,Control,Berlin,3,Thieves,0,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,205.40,,4.80,,2.33,,,,,3,Major,1,Hardpoint,Tuscan,222,Mutineers,250,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,23.60,,0.40,,-0.67,,,,,3,Major,2,SnD,Tuscan,6,Mutineers,4,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,Major,3,Control,Tuscan,1,Mutineers,3,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-2,HP,,SnD,,CTR,,Total,,,3,Major,4,Hardpoint,Berlin,250,Mutineers,243,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokkr,W,L,W,L,W,L,W,L ,,3,Major,5,SnD,Berlin,2,Mutineers,6,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,1,2,0,1,0,0,1,3,,3,Major,1,Hardpoint,Bocage,220,Guerrillas,186,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,0,2,1,1,0,0,1,3,,3,Major,2,SnD,Berlin,6,Guerrillas,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,0,1,0,0,0,1,,3,Major,3,Control,Berlin,3,Guerrillas,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,2,0,0,0,0,0,2,0,,3,Major,1,Hardpoint,Gavutu,250,Royal Ravens,198,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,1,0,1,1,3,1,5,2,,3,Major,2,SnD,Bocage,6,Royal Ravens,5,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Major,3,Control,Tuscan,3,Royal Ravens,0,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Major,1,Hardpoint,Gavutu,250,Thieves,190,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Major,2,SnD,Berlin,5,Thieves,6,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,3,Major,3,Control,Berlin,0,Thieves,3,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,4,4,2,4,3,1,9,9,,3,Major,4,Hardpoint,Berlin,175,Thieves,250,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,50.00%,,33.33%,,75.00%,,50.00%,,,4,Wk 1,1,Hardpoint,Gavutu,250,Breach,220,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1861,,27,,11,,,,,4,Wk 1,2,SnD,Bocage,6,Breach,5,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1626,,30,,7,,,,,4,Wk 1,3,Control,Tuscan,0,Breach,3,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,232.63,,4.50,,2.75,,,,,4,Wk 1,4,Hardpoint,Bocage,193,Breach,250,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,203.25,,5.00,,1.75,,,,,4,Wk 1,5,SnD,Berlin,3,Breach,6,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,29.38,,-0.50,,1.00,,,,,4,Wk 1,1,Hardpoint,Bocage,195,Rokkr,208,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,Wk 1,2,SnD,Bocage,5,Rokkr,6,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-2,HP,,SnD,,CTR,,Total,,,4,Wk 1,3,Control,Tuscan,3,Rokkr,0,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutineers,W,L,W,L,W,L,W,L ,,4,Wk 1,4,Hardpoint,Berlin,236,Rokkr,250,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,1,1,2,2,1,0,4,3,,4,Wk 2,1,Hardpoint,Bocage,239,Legion,197,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,1,0,0,0,0,0,1,0,,4,Wk 2,2,SnD,Tuscan,6,Legion,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,0,0,0,0,0,0,,4,Wk 2,3,Control,Tuscan,1,Legion,3,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,0,1,0,0,1,0,1,1,,4,Wk 2,4,Hardpoint,Berlin,250,Legion,190,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,1,1,1,0,1,1,3,2,,4,Wk 2,1,Hardpoint,Bocage,171,Subliners,250,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Wk 2,2,SnD,Bocage,6,Subliners,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Wk 2,3,Control,Berlin,0,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Wk 2,4,Hardpoint,Berlin,168,Subliners,250,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Wk 3,1,Hardpoint,Bocage,250,Ultra,169,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,3,3,3,2,3,1,9,6,,4,Wk 3,2,SnD,Berlin,6,Ultra,5,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,50.00%,,60.00%,,75.00%,,60.00%,,,4,Wk 3,3,Control,Gavutu,1,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1386,,21,,10,,,,,4,Wk 3,4,Hardpoint,Tuscan,198,Ultra,250,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1372,,22,,7,,,,,4,Wk 3,5,SnD,Bocage,4,Ultra,6,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,231.00,,4.20,,2.50,,,,,4,Major,1,Hardpoint,Bocage,186,Rokkr,250,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,228.67,,4.40,,1.75,,,,,4,Major,2,SnD,Tuscan,6,Rokkr,4,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,2.33,,-0.20,,0.75,,,,,4,Major,3,Control,Tuscan,2,Rokkr,3,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,Major,4,Hardpoint,Gavutu,250,Rokkr,204,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1,HP,,SnD,,CTR,,Total,,,4,Major,5,SnD,Bocage,6,Rokkr,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Ravens,W,L,W,L,W,L,W,L ,,4,Major,1,Hardpoint,Bocage,173,Breach,187,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,0,2,2,0,0,0,2,2,,4,Major,2,SnD,Tuscan,6,Breach,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,1,0,1,1,0,0,2,1,,4,Major,3,Control,Tuscan,3,Breach,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,0,0,0,0,0,0,,4,Major,4,Hardpoint,Tuscan,250,Breach,241,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,1,0,0,0,1,0,2,0,,4,Major,1,Hardpoint,Bocage,250,Ultra,245,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,1,0,0,0,1,1,2,1,,4,Major,2,SnD,Berlin,4,Ultra,6,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Major,3,Control,Berlin,1,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Major,4,Hardpoint,Tuscan,250,Ultra,179,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,4,Major,5,SnD,Bocage,6,Ultra,5,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
